listing_id,title,property_type,price,beds,baths,eircode,area,distance_from_city_km,distance_category,has_bus,has_dart,has_luas,url
6526598,,Semi-Detached,825000.0,3,2,A94Y585,Dublin 4,5,Suburban,1,1,0,https://www.daft.ie/for-sale/detached-house-6a-woodbine-road-booterstown-booterstown-co-dublin/6526598
6524511,"Larkfield, Church Road, Killiney, Co. Dublin, Killiney, Co. Dublin, A96E928",Semi-Detached,1625000.0,4,3,A96E928,Dublin 18,14,Outer,1,1,1,https://www.daft.ie/for-sale/house-larkfield-church-road-killiney-co-dublin/6524511
6526132,"Apartment 75, Bushy Park House, Templeogue Road, Terenure, Dublin 6W, D6WKR52",Semi-Detached,495000.0,2,1,D12Y6P2,Dublin 6,5,Suburban,1,0,0,https://www.daft.ie/for-sale/property-75-bushy-park-house-dublin-6-dublin-centre/6526132
6528567,"59 Marlfield Place, Dublin 24, Kiltipper, Dublin 24, D24T6R3",Semi-Detached,335000.0,3,3,D24T6R3,Dublin 24,10,Outer,1,0,1,https://www.daft.ie/for-sale/house-59-marlfield-place-dublin-24-kiltipper-co-dublin/6528567
6526314,"43 Saint Ignatius Road, Dublin 7, Phibsborough, Dublin 7, D07FW28",End of Terrace,425000.0,2,1,D07FW28,Dublin 7,10,Outer,1,0,1,https://www.daft.ie/for-sale/terraced-house-43-saint-ignatius-road-dublin-7-phibsborough-dublin-7/6526314
6500026,"2 Skylark Way, Saint Marnock'S Bay, Portmarnock, Co. Dublin, D13FX4P",Semi-Detached,695000.0,3,2,D13FX4P,Dublin 13,10,Outer,1,1,0,https://www.daft.ie/for-sale/semi-detached-house-2-skylark-way-saint-marnocks-bay-portmarnock-co-dublin/6500026
6492639,"17 Drumcondra Park, Drumcondra, Dublin 3, D03YY50",Semi-Detached,650000.0,3,1,D03YY50,Dublin 3,4,Suburban,1,0,0,https://www.daft.ie/for-sale/terraced-house-17-drumcondra-park-dublin-3-drumcondra-dublin-3/6492639
6145152,"Palermo and The Mews, Killiney Hill Road , Killiney, Co. Dublin, A96DP66",Terraced,7250000.0,8,8,A96DP66,Dublin 14,7,Suburban,1,1,0,https://www.daft.ie/for-sale/detached-house-palermo-and-the-mews-killiney-hill-road-killiney-co-dublin/6145152
6316198,"Apartment 43, Block F, Milner'S Square, Whitehall, Dublin 9, D09AE82",Semi-Detached,435000.0,3,2,D09AE82,Dublin 9,6,Suburban,1,0,0,https://www.daft.ie/for-sale/apartment-apartment-43-block-f-milners-square-whitehall-dublin-9/6316198
6526826,"""Dunehaven"", 29 Springhill Avenue, Blackrock, Deansgrange, Co. Dublin, A94A342",Semi-Detached,895000.0,4,2,A94A342,Dublin 18,14,Outer,1,1,0,https://www.daft.ie/for-sale/semi-detached-house--dunehaven-29-springhill-avenue-blackrock-deansgrange-co-dublin/6526826
6489592,"83 Kill Lane, Foxrock, Dublin 18, Foxrock, Dublin 18, D18R8X2",Semi-Detached,860000.0,4,2,D18R8X2,Dublin 18,14,Outer,1,1,0,https://www.daft.ie/for-sale/house-83-kill-lane-foxrock-dublin-18/6489592
6526302,"8 Hampton Crescent, Saint Helen'S Wood, Booterstown, Booterstown, Co. Dublin, A94EW01",Semi-Detached,695000.0,2,2,A94EW01,Dublin 4,5,Suburban,1,1,0,https://www.daft.ie/for-sale/end-of-terrace-house-8-hampton-crescent-saint-helens-wood-booterstown-booterstown-co-dublin/6526302
6145846,"Palermo, Killiney Hill Road, Killiney, Co. Dublin, A96DP66",Terraced,5950000.0,5,5,A96DP66,Dublin 14,7,Suburban,1,1,0,https://www.daft.ie/for-sale/detached-house-palermo-killiney-hill-road-killiney-co-dublin/6145846
6520762,"63 Castleknock Way, Laurel Lodge, Castleknock, Dublin 15, D15FY02",Semi-Detached,595000.0,3,2,D15FY02,Dublin 15,12,Outer,1,0,0,https://www.daft.ie/for-sale/semi-detached-house-63-castleknock-way-laurel-lodge-castleknock-dublin-15/6520762
6526151,"80 Waterloo Road, Ballsbridge, Dublin 4, Ballsbridge, Dublin 4, D04K2W5",Semi-Detached,1975000.0,5,2,D04K2W5,Dublin 4,5,Suburban,1,1,0,https://www.daft.ie/for-sale/house-80-waterloo-road-ballsbridge-dublin-4/6526151
6322962,"2 Aubreyville, Dublin Road, Shankill, Dublin 18, D18VK51",Terraced,345000.0,2,1,D18VK51,Dublin 18,14,Outer,1,1,0,https://www.daft.ie/for-sale/apartment-2-aubreyville-dublin-road-shankill-dublin-18/6322962
6528719,"93 Charlemont, Griffith Avenue, Drumcondra, Dublin 9, D09K5V9",Semi-Detached,625000.0,3,2,D09K5V9,Dublin 9,6,Suburban,1,0,1,https://www.daft.ie/for-sale/semi-detached-house-93-charlemont-griffith-avenue-drumcondra-dublin-9/6528719
6313838,"Apartment 73, The Gardens, Merrion, Dublin 4, D04A9Y9",Semi-Detached,1150000.0,3,2,D04A9Y9,Dublin 4,5,Suburban,1,1,0,https://www.daft.ie/for-sale/apartment-apartment-73-the-gardens-merrion-dublin-4/6313838
