listing_id,title,property_type,price,beds,baths,eircode,area,distance_from_city_km,distance_category,has_bus,has_dart,has_luas,url
4989483,"30 Seabury Wood , Malahide, County Dublin, K36 T958",Semi-Detached,615000,3.0,2.0,K36 T958,Unknown,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/30-seabury-wood-malahide-county-dublin/4989483
4989352,"Apartment 166, Block D, The Timber Mill, Artane, Dublin 5, D05 C963",Apartment,345000,2.0,1.0,D05C963,Dublin 5,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/apartment-166-block-d-the-timber-mill-artane-dublin-5/4989352
4989529,"109 The Sweepstakes, Merrion Road, Ballsbridge, Dublin 4, D04 Y5W8",Studio,995000,4.0,3.0,D04 Y5W8,Dublin 4,5,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/109-the-sweepstakes-merrion-road-ballsbridge-dublin-4/4989529
4989506,"9 Ennis Grove, Sandymount, Dublin 4, D04 H020",Semi-Detached,725000,2.0,2.0,D04 H020,Dublin 4,5,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/9-ennis-grove-sandymount-dublin-4/4989506
4981647,"1 Westminster Court, Foxrock, Dublin 18, D18 P043",Studio,775000,3.0,3.0,D18 P043,Dublin 18,14,Outer,1,1,1,https://www.myhome.ie/residential/brochure/1-westminster-court-foxrock-dublin-18/4981647
4979220,"18 St Joseph's Road, Walkinstown, Dublin 12, D12 P6N3",Terraced,499950,3.0,2.0,D12P6N3,Dublin 12,6,Suburban,1,0,1,https://www.myhome.ie/residential/brochure/18-st-joseph-s-road-walkinstown-dublin-12/4979220
4981200,"90 Foxfield Road, Raheny, Dublin 5, County Dublin, D05 Y499",Semi-Detached,750000,5.0,3.0,D05 Y499,Dublin 5,10,Outer,1,1,1,https://www.myhome.ie/residential/brochure/90-foxfield-road-raheny-dublin-5-county-dublin/4981200
4989509,"2 Whitegate, Sandyford Village, Sandyford, Dublin 18, D18 T9F5",Detached,1150000,4.0,4.0,D18 T9F5,Dublin 18,14,Outer,1,1,1,https://www.myhome.ie/residential/brochure/2-whitegate-sandyford-village-sandyford-dublin-18/4989509
4975065,"51 Braemor Road, Churchtown, Dublin 14, D14 W426",Semi-Detached,1295000,4.0,3.0,D14W426,Dublin 14,7,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/51-braemor-road-churchtown-dublin-14/4975065
4987311,"44 Mountain View Road, Ranelagh, Dublin 6, D06 P2N3",Semi-Detached,1850000,3.0,3.0,D06 P2N3,Dublin 6,5,Suburban,1,1,1,https://www.myhome.ie/residential/brochure/44-mountain-view-road-ranelagh-dublin-6/4987311
